Time_hr,Choke_pct,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi
0,0,0.25,299.93,120.19,3101.52
1,0,0.0,299.88,120.47,3100.77
2,0,0.0,300.27,119.86,3099.53
3,0,0.12,299.04,119.48,3099.44
4,0,0.0,300.16,119.73,3098.59
5,0,0.73,299.89,120.02,3098.58
6,0,0.0,300.06,119.65,3100.38
7,0,0.0,299.85,119.82,3101.85
8,0,0.0,299.47,120.25,3098.78
9,0,0.1,299.02,119.6,3100.2
10,20,25.55,287.49,130.04,3061.93
11,20,39.55,279.49,135.98,3040.62
12,20,49.53,274.44,139.84,3025.58
13,20,54.46,272.91,142.23,3018.74
14,20,57.64,270.82,143.32,3013.89
15,20,59.78,269.9,143.68,3008.78
16,20,61.6,270.08,144.46,3009.21
17,20,62.08,268.73,144.87,3008.69
18,20,62.3,269.62,144.14,3007.34
19,20,62.62,268.56,145.06,3004.15
20,20,62.62,268.82,145.53,3005.39
21,20,62.41,268.34,145.4,3006.1
22,20,62.61,268.82,145.18,3006.66
23,20,62.55,268.38,145.04,3004.18
24,20,63.07,268.67,145.17,3005.38
25,20,62.23,268.32,145.07,3004.79
26,20,62.86,268.73,145.74,3005.76
27,20,63.08,268.49,144.6,3005.55
28,20,62.98,269.76,145.12,3005.87
29,20,62.94,267.94,145.52,3006.32
30,40,78.62,260.43,151.71,2981.26
31,40,87.69,257.4,154.66,2968.35
32,40,92.94,253.3,156.69,2960.73
33,40,95.66,252.14,158.2,2957.26
34,40,97.78,250.75,159.51,2951.51
35,40,99.47,250.97,159.26,2951.15
36,40,100.2,250.36,159.66,2948.57
37,40,100.76,249.9,160.27,2949.6
38,40,100.41,249.74,160.39,2948.15
39,40,101.84,249.78,160.01,2949.29
40,40,100.51,249.89,160.75,2947.68
41,40,101.54,249.68,160.67,2950.31
42,40,100.97,249.08,160.17,2947.55
43,40,101.07,249.62,160.53,2949.16
44,40,101.13,250.17,160.37,2951.04
45,40,101.44,249.01,160.13,2948.79
46,40,101.02,249.79,160.6,2948.23
47,40,100.71,248.67,160.32,2949.15
48,40,101.24,248.81,160.51,2948.68
49,40,100.7,249.51,160.47,2947.15
50,60,110.58,245.08,164.49,2935.45
51,60,115.27,241.55,166.54,2926.57
52,60,119.55,242.28,167.89,2922.19
53,60,121.77,239.68,168.42,2918.81
54,60,122.11,238.63,168.85,2916.33
55,60,124.38,237.46,169.49,2913.56
56,60,123.41,238.72,169.48,2913.45
57,60,123.55,238.38,169.34,2914.35
58,60,124.09,237.64,170.27,2914.54
59,60,123.15,238.01,169.47,2914.61
60,60,123.82,237.84,169.84,2914.54
61,60,123.65,237.71,169.56,2912.97
62,60,125.15,238.07,169.33,2914.51
63,60,125.34,238.38,169.26,2913.09
64,60,124.92,237.5,169.85,2914.34
65,60,123.83,237.82,168.74,2912.54
66,60,124.17,237.23,170.21,2912.13
67,60,124.08,237.92,170.15,2912.12
68,60,124.88,237.86,169.42,2914.02
69,60,124.4,237.55,169.74,2913.17
70,80,129.97,235.37,172.44,2903.89
71,80,134.36,232.38,173.27,2900.65
72,80,135.45,232.03,174.06,2896.54
73,80,136.23,232.16,174.72,2894.52
74,80,137.7,231.53,175.15,2894.75
75,80,137.28,230.87,175.3,2894.07
76,80,137.94,231.08,175.56,2892.48
77,80,138.38,230.84,175.18,2893.93
78,80,138.62,231.3,175.67,2892.71
79,80,138.6,230.71,175.4,2892.48
80,80,138.34,231.15,175.07,2894.65
81,80,137.81,230.24,175.67,2893.32
82,80,138.64,231.15,175.33,2891.61
83,80,138.37,230.49,175.63,2892.35
84,80,137.93,230.67,175.46,2891.93
85,80,137.93,230.95,175.41,2891.98
86,80,138.11,230.94,174.9,2891.08
87,80,137.99,230.72,175.43,2893.96
88,80,138.77,230.75,175.33,2891.48
89,80,138.34,230.68,175.44,2891.65
90,100,142.01,229.89,176.67,2887.77
91,100,144.14,227.9,177.59,2884.31
92,100,145.07,227.1,178.02,2882.96
93,100,146.49,227.6,178.95,2880.59
94,100,146.64,226.99,179.14,2879.89
95,100,146.05,226.47,177.95,2879.77
